Lockup Type,Layout,Style,Strapline,File Name,Done?,Rev'd?,Use Case,Preview,Status
Primary,Horizontal,Black and White,With Strapline,primary-horizontal-blackandwhite-strapline.svg,No,No,"Used for official letters, invoices, grayscale documents, or internal reports.",,To Do
Primary,Horizontal,Black and White,,primary-horizontal-blackandwhite.svg,No,No,"Used for official letters, invoices, grayscale documents, or internal reports.",,To Do
Primary,Horizontal,Gradient,With Strapline,primary-horizontal-gradient-strapline.svg,No,No,"web banners, video thumbnails, or digital promotions requiring high impact.",,To Do
Primary,Horizontal,Gradient,,primary-horizontal-gradient.svg,No,No,"web banners, video thumbnails, or digital promotions requiring high impact.",,To Do
Primary,Horizontal,Keyline,With Strapline,primary-horizontal-keyline-strapline.svg,No,No,"Displayed in layout guides, spacing demonstrations, or brand documentation.",,To Do
Primary,Horizontal,Keyline,,primary-horizontal-keyline.svg,No,No,"Displayed in layout guides, spacing demonstrations, or brand documentation.",,To Do
Primary,Horizontal,Outline,With Strapline,primary-horizontal-outline-strapline.svg,No,No,Editorial or artistic publications where a lighter touch or line-based visual theme is preferred.,,To Do
Primary,Horizontal,Outline,,primary-horizontal-outline.svg,No,No,Editorial or artistic publications where a lighter touch or line-based visual theme is preferred.,,To Do
Primary,Horizontal,Reversed,With Strapline,primary-horizontal-reversed-strapline.svg,No,No,"Used for dark-themed layouts, t-shirt prints, or black-background visuals.",,To Do
Primary,Horizontal,Reversed,,primary-horizontal-reversed.svg,No,No,"Used for dark-themed layouts, t-shirt prints, or black-background visuals.",,To Do
Primary,Horizontal,Solid,With Strapline,primary-horizontal-solid-strapline.svg,No,No,"print invitations, marketing flyers, or primary website headers.",,To Do
Primary,Horizontal,Solid,,primary-horizontal-solid.svg,No,No,"print invitations, marketing flyers, or primary website headers.",,To Do
Primary,Horizontal,Transparent,With Strapline,primary-horizontal-transparent-strapline.svg,No,No,"Used in video overlays, live streams, or transparent exports with floating logo needs.",,To Do
Primary,Horizontal,Transparent,,primary-horizontal-transparent.svg,No,No,"Used in video overlays, live streams, or transparent exports with floating logo needs.",,To Do
Primary,Stacked,Black and White,With Strapline,primary-stacked-blackandwhite-strapline.svg,No,No,"narrow posters, vertical layouts, or fold-out print brochures.",,To Do
Primary,Stacked,Black and White,,primary-stacked-blackandwhite.svg,No,No,"narrow posters, vertical layouts, or fold-out print brochures.",,To Do
Primary,Stacked,Gradient,With Strapline,primary-stacked-gradient-strapline.svg,No,No,"web banners, video thumbnails, or digital promotions requiring high impact.",,To Do
Primary,Stacked,Gradient,,primary-stacked-gradient.svg,No,No,"web banners, video thumbnails, or digital promotions requiring high impact.",,To Do
Primary,Stacked,Keyline,With Strapline,primary-stacked-keyline-strapline.svg,No,No,"Displayed in layout guides, spacing demonstrations, or brand documentation.",,To Do
Primary,Stacked,Keyline,,primary-stacked-keyline.svg,No,No,"Displayed in layout guides, spacing demonstrations, or brand documentation.",,To Do
Primary,Stacked,Outline,With Strapline,primary-stacked-outline-strapline.svg,No,No,Editorial or artistic publications where a lighter touch or line-based visual theme is preferred.,,To Do
Primary,Stacked,Outline,,primary-stacked-outline.svg,No,No,Editorial or artistic publications where a lighter touch or line-based visual theme is preferred.,,To Do
Primary,Stacked,Reversed,With Strapline,primary-stacked-reversed-strapline.svg,No,No,"Used for dark-themed layouts, t-shirt prints, or black-background visuals.",,To Do
Primary,Stacked,Reversed,,primary-stacked-reversed.svg,No,No,"Used for dark-themed layouts, t-shirt prints, or black-background visuals.",,To Do
Primary,Stacked,Solid,With Strapline,primary-stacked-solid-strapline.svg,No,No,"print invitations, marketing flyers, or primary website headers.",,To Do
Primary,Stacked,Solid,,primary-stacked-solid.svg,No,No,"print invitations, marketing flyers, or primary website headers.",,To Do
Primary,Stacked,Transparent,With Strapline,primary-stacked-transparent-strapline.svg,No,No,"Used in video overlays, live streams, or transparent exports with floating logo needs.",,To Do
Primary,Stacked,Transparent,,primary-stacked-transparent.svg,No,No,"Used in video overlays, live streams, or transparent exports with floating logo needs.",,To Do
Primary,Vertical,Black and White,With Strapline,primary-vertical-blackandwhite-strapline.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Primary,Vertical,Black and White,,primary-vertical-blackandwhite.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Primary,Vertical,Gradient,With Strapline,primary-vertical-gradient-strapline.svg,No,No,"web banners, video thumbnails, or digital promotions requiring high impact.",,To Do
Primary,Vertical,Gradient,,primary-vertical-gradient.svg,No,No,"web banners, video thumbnails, or digital promotions requiring high impact.",,To Do
Primary,Vertical,Keyline,With Strapline,primary-vertical-keyline-strapline.svg,No,No,"Displayed in layout guides, spacing demonstrations, or brand documentation.",,To Do
Primary,Vertical,Keyline,,primary-vertical-keyline.svg,No,No,"Displayed in layout guides, spacing demonstrations, or brand documentation.",,To Do
Primary,Vertical,Outline,With Strapline,primary-vertical-outline-strapline.svg,No,No,Editorial or artistic publications where a lighter touch or line-based visual theme is preferred.,,To Do
Primary,Vertical,Outline,,primary-vertical-outline.svg,No,No,Editorial or artistic publications where a lighter touch or line-based visual theme is preferred.,,To Do
Primary,Vertical,Reversed,With Strapline,primary-vertical-reversed-strapline.svg,No,No,"Used for dark-themed layouts, t-shirt prints, or black-background visuals.",,To Do
Primary,Vertical,Reversed,,primary-vertical-reversed.svg,No,No,"Used for dark-themed layouts, t-shirt prints, or black-background visuals.",,To Do
Primary,Vertical,Solid,With Strapline,primary-vertical-solid-strapline.svg,No,No,"print invitations, marketing flyers, or primary website headers.",,To Do
Primary,Vertical,Solid,,primary-vertical-solid.svg,No,No,"print invitations, marketing flyers, or primary website headers.",,To Do
Primary,Vertical,Transparent,With Strapline,primary-vertical-transparent-strapline.svg,No,No,"Used in video overlays, live streams, or transparent exports with floating logo needs.",,To Do
Primary,Vertical,Transparent,,primary-vertical-transparent.svg,No,No,"Used in video overlays, live streams, or transparent exports with floating logo needs.",,To Do
Wordmark,Horizontal,Black and White,With Strapline,wordmark-horizontal-blackandwhite-strapline.svg,No,No,"Used in monochrome layouts, administrative forms, or packaging without symbols.",,To Do
Wordmark,Horizontal,Black and White,,wordmark-horizontal-blackandwhite.svg,No,No,"Used in monochrome layouts, administrative forms, or packaging without symbols.",,To Do
Wordmark,Horizontal,Gradient,With Strapline,wordmark-horizontal-gradient-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Horizontal,Gradient,,wordmark-horizontal-gradient.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Horizontal,Keyline,With Strapline,wordmark-horizontal-keyline-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Horizontal,Keyline,,wordmark-horizontal-keyline.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Horizontal,Outline,With Strapline,wordmark-horizontal-outline-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Horizontal,Outline,,wordmark-horizontal-outline.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Horizontal,Reversed,With Strapline,wordmark-horizontal-reversed-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Horizontal,Reversed,,wordmark-horizontal-reversed.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Horizontal,Solid,With Strapline,wordmark-horizontal-solid-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Horizontal,Solid,,wordmark-horizontal-solid.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Horizontal,Transparent,With Strapline,wordmark-horizontal-transparent-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Horizontal,Transparent,,wordmark-horizontal-transparent.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Stacked,Black and White,With Strapline,wordmark-stacked-blackandwhite-strapline.svg,No,No,"Used in monochrome layouts, administrative forms, or packaging without symbols.",,To Do
Wordmark,Stacked,Black and White,,wordmark-stacked-blackandwhite.svg,No,No,"Used in monochrome layouts, administrative forms, or packaging without symbols.",,To Do
Wordmark,Stacked,Gradient,With Strapline,wordmark-stacked-gradient-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Stacked,Gradient,,wordmark-stacked-gradient.svg,No,No,"Used in narrow layout zones such as bookmarks, sidebar headers, or table tents.",,To Do
Wordmark,Stacked,Keyline,With Strapline,wordmark-stacked-keyline-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Stacked,Keyline,,wordmark-stacked-keyline.svg,No,No,"Used in narrow layout zones such as bookmarks, sidebar headers, or table tents.",,To Do
Wordmark,Stacked,Outline,With Strapline,wordmark-stacked-outline-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Stacked,Outline,,wordmark-stacked-outline.svg,No,No,"Used in narrow layout zones such as bookmarks, sidebar headers, or table tents.",,To Do
Wordmark,Stacked,Reversed,With Strapline,wordmark-stacked-reversed-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Stacked,Reversed,,wordmark-stacked-reversed.svg,No,No,"Used in narrow layout zones such as bookmarks, sidebar headers, or table tents.",,To Do
Wordmark,Stacked,Solid,With Strapline,wordmark-stacked-solid-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Stacked,Solid,,wordmark-stacked-solid.svg,No,No,"Used in narrow layout zones such as bookmarks, sidebar headers, or table tents.",,To Do
Wordmark,Stacked,Transparent,With Strapline,wordmark-stacked-transparent-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Stacked,Transparent,,wordmark-stacked-transparent.svg,No,No,"Used in narrow layout zones such as bookmarks, sidebar headers, or table tents.",,To Do
Wordmark,Vertical,Black and White,With Strapline,wordmark-vertical-blackandwhite-strapline.svg,No,No,"Used in monochrome layouts, administrative forms, or packaging without symbols.",,To Do
Wordmark,Vertical,Black and White,,wordmark-vertical-blackandwhite.svg,No,No,"Used in monochrome layouts, administrative forms, or packaging without symbols.",,To Do
Wordmark,Vertical,Gradient,With Strapline,wordmark-vertical-gradient-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Vertical,Gradient,,wordmark-vertical-gradient.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Vertical,Keyline,With Strapline,wordmark-vertical-keyline-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Vertical,Keyline,,wordmark-vertical-keyline.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Vertical,Outline,With Strapline,wordmark-vertical-outline-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Vertical,Outline,,wordmark-vertical-outline.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Vertical,Reversed,With Strapline,wordmark-vertical-reversed-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Vertical,Reversed,,wordmark-vertical-reversed.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Vertical,Solid,With Strapline,wordmark-vertical-solid-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Vertical,Solid,,wordmark-vertical-solid.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Wordmark,Vertical,Transparent,With Strapline,wordmark-vertical-transparent-strapline.svg,No,No,Deployed in print brochures or campaigns where name and tagline are primary.,,To Do
Wordmark,Vertical,Transparent,,wordmark-vertical-transparent.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Icon Only,Centered,Black and White,With Strapline,,No,No,,,To Do
Icon Only,Centered,Black and White,,icon-only-centered-blackandwhite.svg,No,No,"Ideal for stamped goods, admission wristbands, or small printed tickets.",,To Do
Icon Only,Centered,Gradient,With Strapline,,No,No,,,To Do
Icon Only,Centered,Gradient,,icon-only-centered-gradient.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Icon Only,Centered,Keyline,With Strapline,,No,No,,,To Do
Icon Only,Centered,Keyline,,icon-only-centered-keyline.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Icon Only,Centered,Outline,With Strapline,,No,No,,,To Do
Icon Only,Centered,Outline,,icon-only-centered-outline.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Icon Only,Centered,Reversed,With Strapline,,No,No,,,To Do
Icon Only,Centered,Reversed,,icon-only-centered-reversed.svg,No,No,Printed on t-shirts or event banners where a bold symbol is needed on dark material.,,To Do
Icon Only,Centered,Solid,With Strapline,,No,No,,,To Do
Icon Only,Centered,Solid,,icon-only-centered-solid.svg,No,No,"Used in app icons, square social posts, or even favicon export templates.",,To Do
Icon Only,Centered,Transparent,With Strapline,,No,No,,,To Do
Icon Only,Centered,Transparent,,icon-only-centered-transparent.svg,No,No,Applied in specialized or secondary brand materials.,,To Do
Pictorial Symbol,Symbol,Solid,,pictorial-symbol-solid.svg,No,No,"Used in product packaging, embroidered merch, or signage where bold clarity is essential.",,To Do
Pictorial Symbol,Symbol,Outline,,pictorial-symbol-outline.svg,No,No,"Ideal for editorial layouts, minimalist prints, or modern web designs needing a line-art effect.",,To Do
Pictorial Symbol,Symbol,Keyline,,pictorial-symbol-keyline.svg,No,No,Best for brand guides or construction diagrams showing logo proportions and spatial integrity.,,To Do
Pictorial Symbol,Symbol,Gradient,,pictorial-symbol-gradient.svg,No,No,"Applied in high-impact visuals like posters, digital covers, or promotional animations.",,To Do
Pictorial Symbol,Symbol,Monochrome,,pictorial-symbol-monochrome.svg,No,No,"Suited for embossing, screen printing, or scenarios where one-color reproduction is required.",,To Do
Monogram,Centered,Black and White,With Strapline,,No,No,,,To Do
Monogram,Centered,Black and White,,monogram-centered-blackandwhite.svg,No,No,"Applied to embroidered apparel, small signage, or simple branded initials.",,To Do
Monogram,Centered,Gradient,With Strapline,,No,No,,,To Do
Monogram,Centered,Gradient,,monogram-centered-gradient.svg,No,No,"Applied to embroidered apparel, small signage, or simple branded initials.",,To Do
Monogram,Centered,Keyline,With Strapline,,No,No,,,To Do
Monogram,Centered,Keyline,,monogram-centered-keyline.svg,No,No,"Applied to embroidered apparel, small signage, or simple branded initials.",,To Do
Monogram,Centered,Outline,With Strapline,,No,No,,,To Do
Monogram,Centered,Outline,,monogram-centered-outline.svg,No,No,"Applied to embroidered apparel, small signage, or simple branded initials.",,To Do
Monogram,Centered,Reversed,With Strapline,,No,No,,,To Do
Monogram,Centered,Reversed,,monogram-centered-reversed.svg,No,No,"Applied to embroidered apparel, small signage, or simple branded initials.",,To Do
Monogram,Centered,Solid,With Strapline,,No,No,,,To Do
Monogram,Centered,Solid,,monogram-centered-solid.svg,No,No,"Applied to embroidered apparel, small signage, or simple branded initials.",,To Do
Monogram,Centered,Transparent,With Strapline,,No,No,,,To Do
Monogram,Centered,Transparent,,monogram-centered-transparent.svg,No,No,"Applied to embroidered apparel, small signage, or simple branded initials.",,To Do
Emblem,Centered,Black and White,With Strapline,,No,No,,,To Do
Emblem,Centered,Black and White,,emblem-centered-blackandwhite.svg,No,No,"Used in round badges, lapel pins, or promotional car decals.",,To Do
Emblem,Centered,Gradient,With Strapline,,No,No,,,To Do
Emblem,Centered,Gradient,,emblem-centered-gradient.svg,No,No,"Used in round badges, lapel pins, or promotional car decals.",,To Do
Emblem,Centered,Keyline,With Strapline,,No,No,,,To Do
Emblem,Centered,Keyline,,emblem-centered-keyline.svg,No,No,"Used in round badges, lapel pins, or promotional car decals.",,To Do
Emblem,Centered,Outline,With Strapline,,No,No,,,To Do
Emblem,Centered,Outline,,emblem-centered-outline.svg,No,No,"Used in round badges, lapel pins, or promotional car decals.",,To Do
Emblem,Centered,Reversed,With Strapline,,No,No,,,To Do
Emblem,Centered,Reversed,,emblem-centered-reversed.svg,No,No,"Used in round badges, lapel pins, or promotional car decals.",,To Do
Emblem,Centered,Solid,With Strapline,,No,No,,,To Do
Emblem,Centered,Solid,,emblem-centered-solid.svg,No,No,"Used in round badges, lapel pins, or promotional car decals.",,To Do
Emblem,Centered,Transparent,With Strapline,,No,No,,,To Do
Emblem,Centered,Transparent,,emblem-centered-transparent.svg,No,No,"Used in round badges, lapel pins, or promotional car decals.",,To Do
Mascot,Centered,Black and White,With Strapline,,No,No,,,To Do
Mascot,Centered,Black and White,,mascot-centered-blackandwhite.svg,No,No,"Ideal for youth-oriented materials like stickers, signage, or name labels.",,To Do
Mascot,Centered,Gradient,With Strapline,,No,No,,,To Do
Mascot,Centered,Gradient,,mascot-centered-gradient.svg,No,No,"Ideal for youth-oriented materials like stickers, signage, or name labels.",,To Do
Mascot,Centered,Keyline,With Strapline,,No,No,,,To Do
Mascot,Centered,Keyline,,mascot-centered-keyline.svg,No,No,"Ideal for youth-oriented materials like stickers, signage, or name labels.",,To Do
Mascot,Centered,Outline,With Strapline,,No,No,,,To Do
Mascot,Centered,Outline,,mascot-centered-outline.svg,No,No,"Ideal for youth-oriented materials like stickers, signage, or name labels.",,To Do
Mascot,Centered,Reversed,With Strapline,,No,No,,,To Do
Mascot,Centered,Reversed,,mascot-centered-reversed.svg,No,No,"Ideal for youth-oriented materials like stickers, signage, or name labels.",,To Do
Mascot,Centered,Solid,With Strapline,,No,No,,,To Do
Mascot,Centered,Solid,,mascot-centered-solid.svg,No,No,"Ideal for youth-oriented materials like stickers, signage, or name labels.",,To Do
Mascot,Centered,Transparent,With Strapline,,No,No,,,To Do
Mascot,Centered,Transparent,,mascot-centered-transparent.svg,No,No,"Ideal for youth-oriented materials like stickers, signage, or name labels.",,To Do
Combination Mark,Horizontal,Black and White,With Strapline,combination-mark-horizontal-blackandwhite-strapline.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Black and White,,combination-mark-horizontal-blackandwhite.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Gradient,With Strapline,combination-mark-horizontal-gradient-strapline.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Gradient,,combination-mark-horizontal-gradient.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Keyline,With Strapline,combination-mark-horizontal-keyline-strapline.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Keyline,,combination-mark-horizontal-keyline.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Outline,With Strapline,combination-mark-horizontal-outline-strapline.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Outline,,combination-mark-horizontal-outline.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Reversed,With Strapline,combination-mark-horizontal-reversed-strapline.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Reversed,,combination-mark-horizontal-reversed.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Solid,With Strapline,combination-mark-horizontal-solid-strapline.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Solid,,combination-mark-horizontal-solid.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Transparent,With Strapline,combination-mark-horizontal-transparent-strapline.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Horizontal,Transparent,,combination-mark-horizontal-transparent.svg,No,No,"footers, headers, or print materials combining multiple identities.",,To Do
Combination Mark,Stacked,Black and White,With Strapline,combination-mark-stacked-blackandwhite-strapline.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Black and White,,combination-mark-stacked-blackandwhite.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Gradient,With Strapline,combination-mark-stacked-gradient-strapline.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Gradient,,combination-mark-stacked-gradient.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Keyline,With Strapline,combination-mark-stacked-keyline-strapline.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Keyline,,combination-mark-stacked-keyline.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Outline,With Strapline,combination-mark-stacked-outline-strapline.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Outline,,combination-mark-stacked-outline.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Reversed,With Strapline,combination-mark-stacked-reversed-strapline.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Reversed,,combination-mark-stacked-reversed.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Solid,With Strapline,combination-mark-stacked-solid-strapline.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Solid,,combination-mark-stacked-solid.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Transparent,With Strapline,combination-mark-stacked-transparent-strapline.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Combination Mark,Stacked,Transparent,,combination-mark-stacked-transparent.svg,No,No,Used for vertical signage or tall banners for promotional events.,,To Do
Truncated,Centered,Black and White,With Strapline,,No,No,,,To Do
Truncated,Centered,Black and White,,truncated-centered-blackandwhite.svg,No,No,"Used for mobile app icons, website favicons, or compact UI elements.",,To Do
Truncated,Centered,Gradient,With Strapline,,No,No,,,To Do
Truncated,Centered,Gradient,,truncated-centered-gradient.svg,No,No,"Used for mobile app icons, website favicons, or compact UI elements.",,To Do
Truncated,Centered,Keyline,With Strapline,,No,No,,,To Do
Truncated,Centered,Keyline,,truncated-centered-keyline.svg,No,No,"Used for mobile app icons, website favicons, or compact UI elements.",,To Do
Truncated,Centered,Outline,With Strapline,,No,No,,,To Do
Truncated,Centered,Outline,,truncated-centered-outline.svg,No,No,"Used for mobile app icons, website favicons, or compact UI elements.",,To Do
Truncated,Centered,Reversed,With Strapline,,No,No,,,To Do
Truncated,Centered,Reversed,,truncated-centered-reversed.svg,No,No,"Used for mobile app icons, website favicons, or compact UI elements.",,To Do
Truncated,Centered,Solid,With Strapline,,No,No,,,To Do
Truncated,Centered,Solid,,truncated-centered-solid.svg,No,No,"Used for mobile app icons, website favicons, or compact UI elements.",,To Do
Truncated,Centered,Transparent,With Strapline,,No,No,,,To Do
Truncated,Centered,Transparent,,truncated-centered-transparent.svg,No,No,"Used for mobile app icons, website favicons, or compact UI elements.",,To Do